"","DB.classKey","mouse","human","ensembl"
"1",48883441,"Aldh1l1","ALDH1L1","ENSG00000144908"
"2",48883442,"Sry","SRY","ENSG00000184895"
"3",48883443,"Fry","FRY","ENSG00000073910"
"4",48883444,"Rpe65","RPE65","ENSG00000116745"
"5",48883445,"Ywhae","YWHAE","ENSG00000108953"
"6",48883446,"Camkv","CAMKV","ENSG00000164076"
"7",48883447,"Hsd3b4","HSD3B1","ENSG00000203857"
"8",48883447,"Hsd3b4","HSD3B2","ENSG00000203859"
"9",48883448,"Hsd3b1","HSD3B1","ENSG00000203857.1"
"10",48883448,"Hsd3b1","HSD3B2","ENSG00000203859.1"
"11",48883449,"Hsd3b2","HSD3B2","ENSG00000203859.2"
"12",48883449,"Hsd3b2","HSD3B1","ENSG00000203857.2"
"13",48883450,"Hsd3b6","HSD3B1","ENSG00000203857.3"
"14",48883450,"Hsd3b6","HSD3B2","ENSG00000203859.3"
"15",48883451,"Hsd3b3","HSD3B2","ENSG00000203859.4"
"16",48883451,"Hsd3b3","HSD3B1","ENSG00000203857.4"
"17",48883452,"Hsd3b5","HSD3B1","ENSG00000203857.5"
"18",48883452,"Hsd3b5","HSD3B2","ENSG00000203859.5"
"19",48883453,"Hsd3b8","HSD3B2","ENSG00000203859.6"
"20",48883453,"Hsd3b8","HSD3B1","ENSG00000203857.6"
"21",48883454,"Hsd3b9","HSD3B2","ENSG00000203859.7"
"22",48883454,"Hsd3b9","HSD3B1","ENSG00000203857.7"
"23",48883455,"Tst","TST","ENSG00000128311"
"24",48883456,"Mpst","MPST","ENSG00000128309"
"25",48883457,"Hs3st1","HS3ST1","ENSG00000002587"
"26",48883458,"Hs3st2","HS3ST2","ENSG00000122254"
"27",48883459,"Hs3st3b1","HS3ST3B1","ENSG00000125430"
"28",48883460,"Hs3st4","HS3ST4","ENSG00000182601"
"29",48883461,"Rps11","RPS11","ENSG00000142534"
"30",48883462,"Tnfrsf9","TNFRSF9","ENSG00000049249"
"31",48883463,"Ticrr","TICRR","ENSG00000140534"
"32",48883464,"Bsg","BSG","ENSG00000172270"
"33",48883465,"Rpl36a","RPL36A","ENSG00000241343"
"34",48883467,"Rpl36al","RPL36A","ENSG00000241343.1"
"35",48883467,"Rpl36al","RPL36AL","ENSG00000165502"
"36",48883468,"Rpl6","RPL6","ENSG00000089009"
"37",48883469,"Hs6st1","HS6ST1","ENSG00000136720"
"38",48883470,"Hs6st3","HS6ST3","ENSG00000185352"
"39",48883471,"Kdsr","KDSR","ENSG00000119537"
"40",48883541,"Map9","MAP9","ENSG00000164114"
"41",48883589,"Tnfaip3","TNFAIP3","ENSG00000118503"
"42",48883590,"Adora2a","ADORA2A","ENSG00000128271"
"43",48883591,"Rbfox1","RBFOX1","ENSG00000078328"
"44",48883592,"Mug1","PZP","ENSG00000126838"
"45",48883593,"A2m","A2M","ENSG00000175899"
"46",48883596,"Mug2","PZP","ENSG00000126838.1"
"47",48883597,"Mug5","PZP","ENSG00000126838.2"
"48",48883598,"Adora3","ADORA3","ENSG00000282608"
"49",48883599,"Hba-a2","HBA1","ENSG00000206172"
"50",48883599,"Hba-a2","HBA2","ENSG00000188536"
"51",48883600,"Hba-x","HBZ","ENSG00000130656"
"52",48883601,"Cryaa","CRYAA","ENSG00000160202"
"53",48883602,"Prxl2c","PRXL2C","ENSG00000158122"
"54",48883603,"Aak1","AAK1","ENSG00000115977"
"55",48883604,"Aanat","AANAT","ENSG00000129673"
"56",48883605,"Aars1","AARS1","ENSG00000090861"
"57",48883606,"Rpl9","RPL9","ENSG00000163682"
"58",48883607,"Abca1","ABCA1","ENSG00000165029"
"59",48883608,"Abca3","ABCA3","ENSG00000167972"
"60",48883609,"Abcb5","ABCB5","ENSG00000004846"
"61",48883610,"Abcb4","ABCB4","ENSG00000005471"
"62",48883611,"Abcb1a","ABCB1","ENSG00000085563"
"63",48883612,"Abcb1b","ABCB1","ENSG00000085563.1"
"64",48883613,"Tap1","TAP1","ENSG00000168394"
"65",48883614,"Tap2","TAP2","ENSG00000204267"
"66",48883615,"Abcb6","ABCB6","ENSG00000115657"
"67",48883616,"Abcc6","ABCC6","ENSG00000091262"
"68",48883617,"Cftr","CFTR","ENSG00000001626"
"69",48883618,"Abcf2","ABCF2-H2BK1","ENSG00000285292"
"70",48883618,"Abcf2","ABCF2","ENSG00000033050"
"71",48883619,"Abcg4","ABCG4","ENSG00000172350"
"72",48883620,"Abhd10","ABHD10","ENSG00000144827"
"73",48883621,"Abhd17a","ABHD17A","ENSG00000129968"
"74",48883622,"Abhd2","ABHD2","ENSG00000140526"
"75",48883623,"Ephx4","EPHX4","ENSG00000172031"
"76",48883624,"Abhd8","ABHD8","ENSG00000127220"
"77",48883625,"Abi1","ABI1","ENSG00000136754"
"78",48883626,"Abi3bp","ABI3BP","ENSG00000154175"
"79",48883627,"Gbgt1","GBGT1","ENSG00000148288"
"80",48883628,"Aoc1l1","AOC1","ENSG00000002726"
"81",48883629,"Aoc1","AOC1","ENSG00000002726.1"
"82",48883630,"Aoc1l2","AOC1","ENSG00000002726.2"
"83",48883631,"Aoc1l3","AOC1","ENSG00000002726.3"
"84",48883632,"Abra","ABRA","ENSG00000174429"
"85",48883633,"Abraxas1","ABRAXAS1","ENSG00000163322"
"86",48883634,"Abraxas2","ABRAXAS2","ENSG00000165660"
"87",48883635,"Adcy5","ADCY5","ENSG00000173175"
"88",48883636,"Acap2","ACAP2","ENSG00000114331"
"89",48883637,"Soat2","SOAT2","ENSG00000167780"
"90",48883638,"Atp2a1","ATP2A1","ENSG00000196296"
"91",48883639,"Acaca","ACACA","ENSG00000278540"
"92",48883640,"Asic2","ASIC2","ENSG00000108684"
"93",48883641,"Asic3","ASIC3","ENSG00000213199"
"94",48883642,"Asic1","ASIC1","ENSG00000110881"
"95",48883643,"Asic4","ASIC4","ENSG00000072182"
"96",48883644,"Fgf8","FGF8","ENSG00000107831"
"97",48883645,"Furin","FURIN","ENSG00000140564"
"98",48883646,"A1cf","A1CF","ENSG00000148584"
"99",48883647,"Macf1","MACF1","ENSG00000127603"
"100",48883648,"Larp6","LARP6","ENSG00000166173"
"101",48883649,"Chrna1","CHRNA1","ENSG00000138435"
